Time,Alameda
2018-12-24,779.0
2018-12-25,379.0
2018-12-26,1053.0
2018-12-27,1090.0
2018-12-28,1018.0
2018-12-29,710.0
2018-12-30,525.0
2018-12-31,672.0
2019-01-01,312.0
2019-01-02,1057.0
2019-01-03,1107.0
2019-01-04,1101.0
2019-01-05,705.0
2019-01-06,561.0
2019-01-07,994.0
2019-01-08,1078.0
2019-01-09,1087.0
2019-01-10,1141.0
2019-01-11,1085.0
2019-01-12,746.0
2019-01-13,593.0
2019-01-14,1103.0
2019-01-15,1129.0
2019-01-16,1170.0
2019-01-17,1139.0
2019-01-18,1058.0
2019-01-19,687.0
2019-01-20,488.0
2019-01-21,1094.0
2019-01-22,1116.0
2019-01-23,1142.0
2019-01-24,1167.0
2019-01-25,1019.0
2019-01-26,737.0
2019-01-27,610.0
2019-01-28,1064.0
2019-01-29,1111.0
2019-01-30,1249.0
2019-01-31,1074.0
2019-02-01,1045.0
2019-02-02,690.0
2019-02-03,481.0
2019-02-04,1053.0
2019-02-05,1121.0
2019-02-06,1089.0
2019-02-07,1093.0
2019-02-08,1029.0
2019-02-09,757.0
2019-02-10,531.0
2019-02-11,999.0
2019-02-12,1073.0
2019-02-13,1102.0
2019-02-14,1023.0
2019-02-15,1052.0
2019-02-16,739.0
2019-02-17,490.0
2019-02-18,1050.0
2019-02-19,1106.0
2019-02-20,1062.0
2019-02-21,1001.0
2019-02-22,916.0
2019-02-23,733.0
2019-02-24,519.0
2019-02-25,1112.0
2019-02-26,1033.0
2019-02-27,1038.0
2019-02-28,981.0
2019-03-01,937.0
2019-03-02,689.0
2019-03-03,532.0
2019-03-04,1084.0
2019-03-05,1087.0
2019-03-06,1095.0
2019-03-07,1088.0
2019-03-08,955.0
2019-03-09,734.0
2019-03-10,624.0
2019-03-11,1147.0
2019-03-12,1185.0
2019-03-13,1067.0
2019-03-14,1118.0
2019-03-15,1043.0
2019-03-16,761.0
2019-03-17,570.0
2019-03-18,1124.0
2019-03-19,1172.0
2019-03-20,1099.0
2019-03-21,1183.0
2019-03-22,1075.0
2019-03-23,711.0
2019-03-24,505.0
2019-03-25,1070.0
2019-03-26,1159.0
2019-03-27,1163.0
2019-03-28,1128.0
2019-03-29,1049.0
2019-03-30,656.0
2019-03-31,457.0
2019-04-01,1068.0
2019-04-02,1049.0
2019-04-03,1114.0
2019-04-04,1080.0
2019-04-05,1046.0
2019-04-06,730.0
2019-04-07,496.0
2019-04-08,1158.0
2019-04-09,1066.0
2019-04-10,1113.0
2019-04-11,1293.0
2019-04-12,1236.0
