Time,San Juan_predicho
2020-08-23,500.8824785738055
2020-08-24,931.7312022277422
2020-08-25,766.4689781026772
2020-08-26,894.061229863351
2020-08-27,1011.873486687699
2020-08-28,967.7124858430186
2020-08-29,625.0465370638749
2020-08-30,495.41606037033694
2020-08-31,966.9586703408205
2020-09-01,918.4415363566928
2020-09-02,1051.2071989963647
2020-09-03,1139.2975736395779
2020-09-04,1070.5148020987385
2020-09-05,649.3497570134765
2020-09-06,566.0602114698434
2020-09-07,1175.966581834089
2020-09-08,944.7076670453974
2020-09-09,1082.053638949846
2020-09-10,1120.5281502668686
2020-09-11,1155.0185115854292
2020-09-12,718.509622959891
2020-09-13,542.6629267729309
2020-09-14,1185.6203930195888
2020-09-15,1064.022601779742
2020-09-16,1114.5808318321042
2020-09-17,1087.2276118028649
2020-09-18,428.05923423608044
2020-09-19,419.2023376647645
2020-09-20,510.66226557643694
2020-09-21,1220.2887025189236
2020-09-22,1216.841040995835
2020-09-23,1197.7688461953014
2020-09-24,1235.5402381495617
2020-09-25,991.6427121669991
2020-09-26,697.7513295586026
2020-09-27,669.0979938332798
2020-09-28,1204.9046310020324
2020-09-29,1135.50820016251
2020-09-30,1111.1462671574473
2020-10-01,1206.4919194299039
2020-10-02,1187.6601285840472
2020-10-03,743.4604896399305
2020-10-04,627.1536855178222
2020-10-05,1278.5157705956522
2020-10-06,1294.751407539485
2020-10-07,1207.998751904545
2020-10-08,1177.5514495100438
2020-10-09,1329.8967589399208
2020-10-10,775.0140148557497
2020-10-11,606.301723703119
2020-10-12,764.3019792706267
2020-10-13,1265.3272625960867
2020-10-14,1296.7832610682967
2020-10-15,1255.0729467662122
2020-10-16,1286.660178426776
2020-10-17,816.595705386466
2020-10-18,794.2564949613587
2020-10-19,1338.8108772037294
2020-10-20,1319.6411211435213
2020-10-21,1488.9078471661614
2020-10-22,1319.5007224902467
2020-10-23,1355.8169773676832
2020-10-24,910.3643953084256
2020-10-25,1057.3447253933286
2020-10-26,1415.7067363667995
2020-10-27,1254.145790179685
2020-10-28,1370.5254299377614
2020-10-29,1380.6068317769493
2020-10-30,1299.2804201535537
2020-10-31,846.971236414325
2020-11-01,695.9324911590857
2020-11-02,1360.7506385879667
2020-11-03,1395.3591362464495
2020-11-04,1433.9310241792632
2020-11-05,1928.0026233723393
2020-11-06,1838.1820060156851
2020-11-07,1692.2636125539682
2020-11-08,1423.9858916686308
2020-11-09,1861.9629066500434
2020-11-10,1895.487224640613
2020-11-11,1926.2736488407331
2020-11-12,1767.969299878876
2020-11-13,1597.722496248493
2020-11-14,1412.3738894665757
2020-11-15,1222.1492469606987
2020-11-16,1853.4647350172095
2020-11-17,1667.963767070578
2020-11-18,1753.2845624478684
2020-11-19,1677.630309837929
2020-11-20,1630.7444582665407
2020-11-21,1341.0056015829773
2020-11-22,1202.7366236354605
2020-11-23,1722.5555791001889
2020-11-24,1857.0345911017375
